Hi students! Please make sure to enter your zeros -- NOT seeing a fish / coral is just as informative as seeing it. ,,,,,,,,
BuddyPair,Year,Zone,Site,Transect,Type,Genus,HealthStatus,Count
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Acanthastrea,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Acropora,Healthy,10
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Alveopora,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Astreopora,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Caulastrea,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Coeloseris,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Coscinaraea,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Cyphastrea,Healthy,40
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Diploastrea,Healthy,3
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Dipsastrea (old Favia),Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Echinopora,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Euphyllia,Healthy,3
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Favites,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Fungia,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Galaxea,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Goniastrea,Healthy,1
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Goniopora,Healthy,6
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Heliofungia,Healthy,9
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Hydnophora,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Leptastrea,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Leptoria,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Leptoseris,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Lobophyllia,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Merulina,Healthy,0
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Mycedium/Echinophyllia,Healthy,1
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Montipora,Healthy,14
Taylor_Gemma,2025,NoTake,Cattle,1,Hard coral,Oxypora,Healthy,0
